Author,Node full name,Node short name,Type of node,Start,End,Description,Image link,Video link,Location,Country,Location coordinates,Target participant qualifier 1,Target participant qualifier 2,Number of participants,Type of engagement,Type of audience,Duration,Made by,Inspired by,In opposition to,In response to,Associated / works with,Exhibited with,Exhibited at
VR,"Palle Nielsen, The Model","Nielsen, The Model",Interventions,1968,,"In 1968 Palle Nielsen convinced the director of the Moderna Museet, Stockholm, to make an adventure playground in the museum. The director Pontus Hultén accepted, provided that Nielsen assumed full economic and organisational responsibility for the project. In October 1968, Modellen – En model förettkvalitativtsamhälle (The Model – A Model for a Qualitative Society) opened and offered free access for all of Stockholm’s children, attracting more than 33,500 visitors, 20,000 of whom were children. New walls and a Masonite Goor were installed in the large hall, along with jungle gyms, a foamrubber basin, swings, climbing ropes and water chutes. Tools, paint, building materials and fabrics were at the children’s disposal during the entire course of the project to aid their creativity. The Royal Theatre donated a selection of period costumes to be used for dressing up, while Nielsen provided carnival masks of Charles de Gaulle, Mao Zedong, Lyndon B. Johnson and Fidel Castro. Loudspeakers were placed in each corner of the exhibition space, and the children operated turntables with a collection of LPs from every genre. In the restaurant, a number of TV screens carried live transmissions from the galleries, enabling visitors to take in the whole experience from outside. The white cube, a space designed for contemplation, was thus transformed into an open area for play and social irrationality, offering new possibilities for behaviour and proving that activity could not be prescribed.",http://www.macba.cat/uploads/20120210/3566_770x510.jpg,,"Moderna Museet, Stockholm, Sweden",Sweden,"59.3260466,18.0824992",All,Children,"33,500 visitors, 20,000 of whom were children",Object interaction,,,Palle Nielsen,,,,Pontus Hultén,,Moderna Museet Stockholm
VR,Palle Nielsen,Palle Nielsen,Artists,,,,,,,,,,,,,,,,,,,Pontus Hultén,,
VR,"Joseph Beuys, Information Action at the Tate Gallery, 1972","Beuys, Information Action 1972",Performances,26/02/1972,,"On 26 February 1972 Beuys presented Information Action as part of his contribution to Seven Exhibitions, a series of solo shows by different artists at the Tate Gallery, Millbank. In the Octagon of the Duveen Galleries, in what is now Tate Britain, Beuys lectured on humanity’s natural creative capacity and the power of direct democracy to shape society. He chalked his conceptual theories onto three blackboards (now in the Tate collection) and engaged the crowd in a free-form and often tense discussion. Not simply receptacles of ideas, the blackboards helped to determine the relationship between the artist and his audience, clearly signalling Beuys’s role as instructor. The format of the talk also served to position Beuys at the work’s centre.",http://images.tate.org.uk/sites/default/files/styles/grid-normal-12-cols/public/images/josephbeuysactionpiece.jpg?itok=YEpgINsm,,"Tate Gallery, London, UK ",UK ,"51.4910635,-0.1453006",All,,,Discursive,,6 hours,Joseph Beuys,,,,,,"Tate Britain, Tate Modern"
AF,"Tania Bruguera, Catédra Arte de Conducta","Bruguera, Arte de Conducta",Initiatives,2002,2009,"Cátedra Arte de Conducta (Behavior Art Department - 2002-2009) emerged like a piece of public art intended to create a space of alternative training to the system of art studies in contemporary Cuban society. It is a Long Term Intervention focused in the discussion and analysis of sociopolitical behavior and the understanding of art as an instrument for the transformation of ideology through the activation of civic action on its environment. It was created as a space for the practice of Arte de Conducta (Behavior Art). Actions aimed to transform some spaces in society through art, transcending symbolic representation or metaphor and meeting with their activity some deficits in reality, in life through Arte Útil (Useful Art).",http://www.taniabruguera.com/cms/index.php?rex_resize=700a__tania_bruguera_canas___2005.jpg,,"Havana, Cuba",Cuba,"23.0506037,-82.4727989",All,,,Workshop,,9 years,Tania Bruguera,,,,,,
,Tate Exchange,Tate Exchange,Initiatives,28/09/2016,,"Tate Exchange is an open experiment. It’s an ongoing programme of events developed by artists, practitioners, and associates, both within and beyond the arts sector, aimed at building a dialogue around art, society, and the wider issues facing us today. It’s a new civic space in the Tate Modern Switch House, a place for you to drop in for a lecture, share a cup of tea with a friend, enjoy a chance encounter with a pop-up work of art, and join the debate. In short, it’s a space for collaborative and innovative projects, and a forum for anyone and everyone to get involved with art in new and unexpected ways.",http://images.tate.org.uk/sites/default/files/images/timetchell.jpg,,"Tate Modern, London, UK",UK ,"51.5075953,-0.1015451",All,,,Mixed,,,,,,,,,Tate Modern
VR,Joseph Beuys,Joseph Beuys,Artists,,,,,,,,,,,,,,,,,,,,,
VR,Cildo Meireles,Cildo Meireles,Artists,,,,,,,,,,,,,,,,,,,,,documenta 11 
VR,Margaret Harrison,Margaret Harrison,Artists,,,,,,,,,,,,,,,,,,,"Kay Hunt, Mary Kelly",,
VR,Kay Fido Hunt,Kay Hunt,Artists,,,,,,,,,,,,,,,,,,,"Margaret Harrison, Mary Kelly",,
VR,Mary Kelly,Mary Kelly,Artists,,,,,,,,,,,,,,,,,,,"Margaret Harrison, Key Hunt",,
